정보공시 학교코드,시도교육청,교육지원청,지역,학교명,설립구분,점검영역_총개수,미관리_영역수,관리_영역수,최근점검일,평균점검일,점검경과일_평균,점검경과일_최근,학교급,환경_부적합_수,환경_미실시_수,환경_위험항목_수,학생수,환경위험_log,미관리_norm,환경위험_norm,경과일_norm,위험도_점수,위험군,우선순위_점수
S010000730,서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,원촌중학교,공립,6,5,1,2025-02-28,2025-02-28 00:00:00.000000,123.0,123.0,중,0.0,10.0,10.0,1229.0,2.3978952727983707,0.8333333333333334,0.6336614981727329,0.0,62.14851153052345,고위험,504.32084262934256
S010000972,서울특별시교육청,서울특별시강서양천교육지원청,서울특별시 강서구,덕원중학교,사립,6,3,3,2025-02-28,2025-02-28 00:00:00.000000,123.0,123.0,중,0.0,19.0,19.0,734.0,2.995732273553991,0.5,0.7916443316431058,0.0,52.55792114727566,고위험,399.4333944271348
S010000983,서울특별시교육청,서울특별시강서양천교육지원청,서울특별시 양천구,봉영여자중학교,사립,6,4,2,2025-02-26,2025-02-26 00:00:00.000000,125.0,125.0,중,0.0,9.0,9.0,521.0,2.302585092994046,0.6666666666666666,0.6084750807294722,0.0054945054945054,53.57800108836156,고위험,388.85132192254247
S030000620,대구광역시교육청,대구광역시동부교육지원청,대구광역시 수성구,경신중학교,사립,6,2,4,2024-12-27,2024-11-20 06:00:00.000000,222.0,186.0,중,0.0,19.0,19.0,951.0,2.995732273553991,0.3333333333333333,0.7916443316431058,0.2719780219780219,49.32705118390569,고위험,387.63983970320527
S020000346,부산광역시교육청,부산광역시교육청,부산광역시 동구,경남여자고등학교,공립,6,4,2,2025-02-28,2025-02-16 00:00:00.000000,135.0,123.0,고,0.0,7.0,7.0,547.0,2.079441541679836,0.6666666666666666,0.5495077527409008,0.0329670329670329,51.84384442582655,고위험,378.7853993087941
S010000977,서울특별시교육청,서울특별시강서양천교육지원청,서울특별시 강서구,명덕여자중학교,사립,6,4,2,2025-02-21,2025-01-17 00:00:00.000000,165.0,130.0,중,0.0,5.0,5.0,528.0,1.791759469228055,0.6666666666666666,0.4734856448969273,0.1153846153846153,50.38502664109933,고위험,366.3489458463055
S130001142,전북특별자치도교육청,전북특별자치도익산교육지원청,전북특별자치도 익산시,이리중학교,사립,6,2,4,2024-12-20,2024-10-06 00:00:00.000000,268.0,193.0,중,0.0,19.0,19.0,410.0,2.995732273553991,0.3333333333333333,0.7916443316431058,0.3983516483516483,51.416007227861726,고위험,360.86803944595965
S090005291,경기도교육청,경기도구리남양주교육지원청,경기도 남양주시,호평고등학교,공립,6,3,3,2025-02-25,2025-02-14 16:00:00.000000,136.0,126.0,고,0.0,8.0,8.0,955.0,2.19722457733622,0.5,0.5806327879665873,0.0357142857142857,45.3176399042972,고위험,356.3216317583268
S140000842,전라남도교육청,전라남도목포교육지원청,전라남도 목포시,문태중학교,사립,6,2,4,2025-02-24,2024-12-31 12:00:00.000000,181.0,127.0,중,0.0,22.0,22.0,539.0,3.1354942159291497,0.3333333333333333,0.8285774549523743,0.1593406593406593,48.835743785517046,고위험,356.08920229385313
S010001962,서울특별시교육청,서울특별시서부교육지원청,서울특별시 은평구,충암중학교,사립,6,2,4,2025-02-28,2025-02-17 06:00:00.000000,133.0,123.0,중,0.0,20.0,20.0,843.0,3.044522437723423,0.3333333333333333,0.8045374921052874,0.0274725274725274,45.76384054448143,고위험,354.12757687157057
S130000403,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 전주시 덕진구,전라고등학교,공립,6,2,4,2025-02-27,2024-12-28 06:00:00.000000,184.0,124.0,고,0.0,15.0,15.0,802.0,2.772588722239781,0.3333333333333333,0.7326770036545345,0.1675824175824175,45.41311430159047,고위험,349.1521314156362
S010000919,서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울문정초등학교,공립,6,2,4,2025-02-25,2025-02-11 18:00:00.000000,139.0,126.0,초,0.0,19.0,19.0,737.0,2.995732273553991,0.3333333333333333,0.7916443316431058,0.0439560439560439,45.55784788720239,고위험,346.4193161039803
S130001416,전북특별자치도교육청,전북특별자치도전주교육지원청,전북특별자치도 전주시 완산구,전주해성중학교,사립,6,3,3,2025-02-26,2025-01-13 00:00:00.000000,169.0,125.0,중,0.0,8.0,8.0,541.0,2.19722457733622,0.5,0.5806327879665873,0.1263736263736263,46.8162388053961,고위험,341.5369152722856
S150003536,경상북도교육청,경상북도포항교육지원청,경상북도 포항시 남구,장기중학교,사립,6,4,2,2025-02-04,2024-10-30 12:00:00.000000,243.0,147.0,중,0.0,6.0,6.0,167.0,1.9459101490553128,0.6666666666666666,0.5142210981219936,0.3296703296703296,55.4388621674244,고위험,339.5055949724091
S010001729,서울특별시교육청,서울특별시북부교육지원청,서울특별시 노원구,청원중학교,사립,6,3,3,2025-02-23,2025-02-23 00:00:00.000000,128.0,128.0,중,0.0,10.0,10.0,493.0,2.3978952727983707,0.5,0.6336614981727329,0.0137362637362637,46.92223863675055,고위험,337.95909032716327
S090000821,경기도교육청,경기도평택교육지원청,경기도 평택시,태광고등학교,사립,6,1,5,2024-12-13,2024-12-13 00:00:00.000000,200.0,200.0,고,0.0,25.0,25.0,897.0,3.258096538021482,0.1666666666666666,0.8609760221365951,0.2115384615384615,43.17421761738648,고위험,336.7662399815036
S030000722,대구광역시교육청,대구광역시동부교육지원청,대구광역시 수성구,대구삼육초등학교,사립,6,3,3,2025-02-28,2024-11-03 00:00:00.000000,240.0,123.0,초,0.0,12.0,12.0,194.0,2.5649493574615367,0.5,0.6778067712229614,0.3214285714285714,53.64662356579839,고위험,336.5252459466888
